lib,n,accepts,rss_kb,heap_kb,goroutines
emap,1,1,7168,784,3
emersion,1,1,7168,760,3
emap,5,1,7296,784,3
emersion,5,5,7552,1040,11
emap,15,1,7168,912,3
emersion,15,15,7936,1208,31
emap,50,1,7680,1008,3
emersion,50,50,8832,1656,101
emap,100,1,7680,1024,3
emersion,100,100,9984,2552,201
emap,250,1,8064,1200,3
emersion,250,250,13312,4576,501
emap,500,1,8448,1504,3
emersion,500,500,17920,7624,1001
emap,1000,1,8960,2168,3
emersion,1000,1000,28288,14528,2001
emap,2000,1,10624,3504,3
emersion,2000,2000,50048,28136,4001
